NO,STREETADDRESS,POSTALCODE,STATEORPROVINCE,CITY,SALESCLOSEPRICE,LISTDATE,LISTPRICE,LISTTYPE,ORIGINALLISTPRICE,PRICEPERTSFT,FOUNDATIONSIZE,FENCE,SCHOOLDISTRICTNUMBER,DAYSONMARKET,OFFMKTDATE,FIREPLACES,ROOMTYPE,ROOF,POTENTIALSHORTSALE,POOLDESCRIPTION,PDOM,GARAGEDESCRIPTION,SQFTABOVEGROUND,TAXES,TAXWITHASSESSMENTS,TAXYEAR,LIVINGAREA,UNITNUMBER,YEARBUILT,ZONING,STYLE,ACRES,COOLINGDESCRIPTION,APPLIANCES,BACKONMARKETDATE,EXTERIOR,DININGROOMDESCRIPTION,BASEMENT,BATHSFULL,BATHSHALF,BATHQUARTER,BATHSTHREEQUARTER,CLASS,BATHSTOTAL,BATHDESC,BEDROOMS,SQFTBELOWGROUND,ASSUMABLEMORTGAGE,ASSOCIATIONFEE,ASSESSMENTPENDING,ASSESSEDVALUATION,latitude,longitude
21,9795 N 5th Street Ln,55042,MN,LELM - Lake Elmo,289871,3/3/2017 0:00,292371,Exclusive Right,292371,163.0321,698,Privacy,834 - Stillwater,3,3/6/2017 0:00,1,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Loft,Laundry                                                                                         ","Asphalt Shingles,Pitched,Age 8 Years or Less                                ",No,None,3,"Attached Garage,Garage Door Opener,Driveway - Asphalt                                                                                                      ",1778,0,0,2016,1778,null,2016,Residential-Multi-Family,(TH) Side x Side,0.04,Central,"Range,Microwave,Dishwasher,Refrigerator,Freezer,Washer,Dryer,Disposal,Air-To-Air Exchanger                                                                                                         ",null,"Brick/Stone,Fiber Board                             ","Informal Dining Room,Eat In Kitchen,Kitchen/Dining Room                                                                        ",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath,Upper Level Full Bath,Private Master,3/4 Master                                                                                                                                          ",3,0,null,190,No,0,44.95291,-92.90742
22,9797 N 5th Street Ln,55042,MN,LELM - Lake Elmo,282500,3/6/2017 0:00,292925,Exclusive Right,291925,158.8864,698,"Privacy,Partial                        ",834 - Stillwater,50,4/25/2017 0:00,1,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Loft,Laundry                                                                                         ","Asphalt Shingles,Pitched,Age 8 Years or Less                                ",No,None,18,"Attached Garage,Garage Door Opener,Driveway - Asphalt                                                                                                      ",1778,0,0,2016,1778,null,2016,Residential-Multi-Family,(TH) Side x Side,0.04,Central,"Range,Microwave,Dishwasher,Refrigerator,Freezer,Washer,Dryer,Disposal,Air-To-Air Exchanger                                                                                                         ",null,"Brick/Stone,Fiber Board                             ","Informal Dining Room,Breakfast Area                                                                                             ",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath,Upper Level Full Bath,Upper Level 3/4 Bath,Private Master,3/4 Master                                                                                                                    ",3,0,null,190,No,0,44.95282,-92.90755
23,8909 37th St N,55042,MN,LELM - Lake Elmo,289900,6/26/2017 0:00,299900,Exclusive Right,299900,119.5957,1300,null,834 - Stillwater,40,9/30/2017 0:00,2,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Deck,Work Shop                                                                                       ",Asphalt Shingles,No,null,40,"Attached Garage,Garage Door Opener                                                                                                                          ",1324,1974,1974,2017,2424,null,1967,Residential-Single,(SF) Split Entry (Bi-Level),0.43,Central,"Range,Microwave,Dishwasher,Refrigerator,Washer,Dryer                                                                                                                                                  ",null,Metal,Informal Dining Room,"Walkout,Finished (Livable),Day/Lookout Windows,Concrete Block                                                                   ",1,0,0,2,SF,3,"Upper Level Full Bath,Private Master,3/4 Master,3/4 Basement                                                                                                                                                 ",4,1100,Not Assumable,0,No,1974,45.0026,-92.92643
24,3597 Kelvin Ave N,55042,MN,LELM - Lake Elmo,314500,5/13/2017 0:00,299900,Exclusive Right,299900,156.002,1200,Wood,834 - Stillwater,6,6/12/2017 0:00,2,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Sun Room                                                                                              ","Asphalt Shingles,Pitched,Age Over 8 Years                                   ",No,null,6,"Attached Garage,Driveway - Concrete                                                                                                                         ",1380,1878,1878,2016,2016,null,1960,Residential-Single,(SF) One Story,0.574,Central,"Cooktop,Wall Oven,Microwave,Exhaust Fan/Hood,Dishwasher,Refrigerator,Washer,Dryer,Water Softener - Owned                                                                                           ",null,"Stucco,Brick/Stone                                  ","Separate/Formal Dining Room,Eat In Kitchen                                                                                      ","Walkout,Full,Finished (Livable),Concrete Block                                                                                  ",1,1,0,0,SF,2,"Main Floor Full Bath,Private Master,1/2 Master                                                                                                                                                                 ",3,636,null,0,Yes,0,45.00089,-92.89822
25,8656 27th St N,55042,MN,LELM - Lake Elmo,280000,5/12/2017 0:00,299900,Exclusive Right,320000,114.2857,1148,null,622 - North St Paul-Maplewood,32,6/26/2017 0:00,1,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,,Recreation Room,Utility Room,Porch,Den                                                                                 ",Asphalt Shingles,No,null,13,"Attached Garage,Driveway - Asphalt                                                                                                                          ",1850,2333,2336,2016,2450,null,1964,Residential-Single,(SF) Two Stories,0.498,None,"Range,Microwave,Dishwasher,Refrigerator                                                                                                                                                                 ",null,Vinyl,"Separate/Formal Dining Room,Breakfast Area                                                                                      ",Full,1,1,0,0,SF,2,"Main Floor Full Bath,Upper Level 1/2 Bath                                                                                                                                                                       ",3,600,Not Assumable,0,Unknown,3,44.98839,-92.93086
26,9775 N 5th Street Ln,55042,MN,LELM - Lake Elmo,299990,7/6/2017 0:00,299990,Exclusive Right,322618,166.0155,1159,"Privacy,Partial                        ",834 - Stillwater,19,7/25/2017 0:00,1,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,,Loft,Laundry,Deck,Pantry (Walk-In),Unfinished                                                                         ","Asphalt Shingles,Pitched,Age 8 Years or Less                                ",No,None,1,"Attached Garage,Garage Door Opener,Driveway - Asphalt                                                                                                      ",1807,0,0,2017,1807,null,2017,Residential-Multi-Family,(TH) Side x Side,0.04,Central,"Range,Microwave,Dishwasher,Refrigerator,Freezer,Washer,Dryer,Disposal,Air-To-Air Exchanger                                                                                                         ",null,"Brick/Stone,Fiber Board                             ","Informal Dining Room,Breakfast Area                                                                                             ",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath,Upper Level Full Bath,Upper Level 3/4 Bath,Private Master,3/4 Master,Basement,Rough In                                                                                                ",3,0,null,225,No,0,44.95296,-92.90793
27,8687 Lake Jane Trl N,55042,MN,LELM - Lake Elmo,310000,5/4/2017 0:00,300000,Exclusive Right,350000,123.0647,1506,null,834 - Stillwater,8,5/12/2017 0:00,2,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Pantry (Walk-In),Sun Room,Informal Dining Room                                                      ",null,No,"Below Ground,Outdoor,Heated        ",1,Attached Garage,1649,2746,2746,2017,2519,null,1973,Residential-Single,(SF) One Story,1.03,Central,"Range,Microwave,Dishwasher,Refrigerator,Washer,Dryer,Water Softener - Owned                                                                                                                          ",null,Cement Board,"Separate/Formal Dining Room,Informal Dining Room                                                                                ","Full,Finished (Livable),Egress Windows                                                                                           ",1,0,0,1,SF,2,"Main Floor Full Bath,Basement                                                                                                                                                                                   ",4,870,null,0,Unknown,0,45.0118,-92.93054
28,8367 39th St N,55042,MN,LELM - Lake Elmo,319000,4/17/2017 0:00,309000,Exclusive Right,309000,155.4581,1100,null,834 - Stillwater,14,5/1/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ",Age 8 Years or Less,No,null,14,"Attached Garage,Detached Garage                                                                                                                             ",1152,2693,2696,2016,2052,null,1971,Residential-Single,(SF) One Story,1.995,Central,"Range,Dishwasher,Refrigerator,Washer,Dryer,Water Softener - Owned                                                                                                                                     ",null,Fiber Board,"Informal Dining Room,Eat In Kitchen                                                                                             ",Walkout,1,0,0,1,SF,2,Main Floor Full Bath,4,900,Not Assumable,0,No,3,45.00575,-92.93761
29,2866 Legion Ave N,55042,MN,LELM - Lake Elmo,304000,4/26/2017 0:00,309900,Exclusive Right,309900,156.5396,1020,null,834 - Stillwater,2,5/6/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Foyer,Three Season Porch,Garage                                                                     ","Asphalt Shingles,Pitched,Age Over 8 Years                                   ",No,null,2,"Attached Garage,Detached Garage,Insulated Garage,Driveway - Concrete,Garage Door Opener                                                                  ",1064,2482,2482,2016,1942,null,1969,Residential-Single,(SF) Split Entry (Bi-Level),0.72,Central,"Range,Microwave,Exhaust Fan/Hood,Refrigerator,Washer,Dryer,Water Softener - Rented                                                                                                                   ",null,Wood,"Informal Dining Room,Living/Dining Room                                                                                         ","Walkout,Full,Finished (Livable),Day/Lookout Windows,Concrete Block                                                             ",1,0,0,1,SF,2,"Upper Level Full Bath,3/4 Basement                                                                                                                                                                             ",4,878,null,0,No,0,44.99002,-92.87301
30,9793 N 5th Street Ln,55042,MN,LELM - Lake Elmo,307500,3/3/2017 0:00,314584,Exclusive Right,314584,160.9105,759,Privacy,834 - Stillwater,29,4/1/2017 0:00,1,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,,Loft,Laundry                                                                                                             ","Asphalt Shingles,Pitched,Age 8 Years or Less                                ",No,None,29,"Attached Garage,Driveway - Asphalt,Garage Door Opener                                                                                                      ",1911,0,0,2016,1911,null,2016,Residential-Multi-Family,(TH) Side x Side,0.06,Central,"Range,Microwave,Dishwasher,Refrigerator,Freezer,Washer,Dryer,Disposal,Air-To-Air Exchanger                                                                                                         ",null,"Brick/Stone,Fiber Board                             ","Informal Dining Room,Breakfast Area                                                                                             ",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath,Upper Level Full Bath,Private Master,3/4 Master                                                                                                                                          ",3,0,null,190,Unknown,0,44.95306,-92.90752
31,9799 N 5th Street Ln,55042,MN,LELM - Lake Elmo,311401,4/8/2017 0:00,316671,Exclusive Right,315671,162.9519,759,"Privacy,Partial                        ",834 - Stillwater,27,5/5/2017 0:00,1,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,,Loft,Laundry                                                                                                             ","Asphalt Shingles,Pitched,Age 8 Years or Less                                ",No,None,8,"Attached Garage,Driveway - Asphalt,Garage Door Opener                                                                                                      ",1911,0,0,2017,1911,null,2017,Residential-Multi-Family,(TH) Side x Side,0.06,Central,"Range,Microwave,Dishwasher,Refrigerator,Freezer,Washer,Dryer,Disposal,Air-To-Air Exchanger                                                                                                         ",null,"Vinyl,Brick/Stone                                   ","Informal Dining Room,Breakfast Area                                                                                             ",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath,Upper Level Full Bath,Private Master,3/4 Master                                                                                                                                          ",3,0,null,200,Unknown,0,44.95277,-92.90752
32,2410 Lisbon Ave N,55042,MN,LELM - Lake Elmo,305000,6/8/2017 0:00,319000,Exclusive Right,319000,132.0346,1580,null,834 - Stillwater,7,7/17/2017 0:00,1,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Deck,Deck,Study                                                                                     ",null,No,null,7,"Attached Garage,Driveway - Asphalt                                                                                                                          ",2060,2725,2728,2017,2310,null,1978,Residential-Single,(SF) One 1/2 Stories,1.087,Central,"Range,Refrigerator,Washer,Water Softener - Owned,Central Vacuum                                                                                                                                        ",null,Wood,null,"Full,Concrete Block                                                                                                               ",2,0,0,0,SF,2,"Main Floor Full Bath,Upper Level Full Bath,Private Master,Full Master                                                                                                                                        ",3,250,null,0,Unknown,3,44.98894,-92.87064
33,8695 Ironwood Trl N,55042,MN,LELM - Lake Elmo,317000,6/1/2017 0:00,325000,Exclusive Right,325000,117.6252,1720,Partial,622 - North St Paul-Maplewood,18,6/19/2017 0:00,2,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Den,Work Shop,Sun Room,Foyer,Spa or Sauna Room,Deck                                              ","Asphalt Shingles,Pitched,Age Over 8 Years                                   ",No,null,18,"Attached Garage,Driveway - Concrete,Driveway - Asphalt,Garage Door Opener                                                                                 ",1720,2247,2250,2017,2695,null,1974,Residential-Single,(SF) One Story,0.689,Central,"Range,Microwave,Dishwasher,Refrigerator,Tankless Water  Heater,Water Softener - Owned                                                                                                                 ",null,Vinyl,"Eat In Kitchen,Kitchen/Dining Room,Living/Dining Room                                                                          ","Full,Finished (Livable),Concrete Block                                                                                           ",1,0,0,1,SF,2,"Main Floor Full Bath,Master Walk-Thru,3/4 Basement                                                                                                                                                             ",3,975,Not Assumable,0,No,3,44.9902,-92.93027
34,9777 N 5th Street Ln,55042,MN,LELM - Lake Elmo,320000,10/6/2017 0:00,325990,Exclusive Right,343645,141.7811,1159,null,834 - Stillwater,39,11/14/2017 0:00,1,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,,Recreation Room,Loft,Laundry,Deck,Pantry (Walk-In)                                                                    ","Asphalt Shingles,Pitched,Age 8 Years or Less                                ",No,None,19,"Attached Garage,Driveway - Asphalt,Garage Door Opener                                                                                                      ",1807,222,222,2017,2257,null,2017,Residential-Multi-Family,(TH) Side x Side,0.04,Central,"Range,Microwave,Dishwasher,Refrigerator,Freezer,Washer,Dryer,Disposal,Air-To-Air Exchanger                                                                                                         ",null,"Brick/Stone,Fiber Board                             ","Informal Dining Room,Eat In Kitchen                                                                                             ","Finished (Livable),Day/Lookout Windows,Poured Concrete                                                                           ",1,2,0,1,SF,4,"Main Floor 1/2 Bath,Upper Level Full Bath,Upper Level 3/4 Bath,Private Master,3/4 Master,1/2 Basement,Basement                                                                                            ",3,450,null,225,No,0,44.95287,-92.90793
